experiment,k,layers,acc_emb,trn_emb,lr,epoch,auroc,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k20_L2_emb64x128_lr0.0001,20.0,2.0,64.0,128.0,0.0001,5,0.9307228356325995,0.03334835511491663,0.9949748743718593,0.0285935085007728,0.04
k20_L2_emb64x256_lr0.0001,20.0,2.0,64.0,256.0,0.0001,2,0.9306602753322706,0.05447941888619855,0.9798994974874372,0.061898211829436035,0.04864864864864865
k20_L3_emb64x256_lr0.0001,20.0,3.0,64.0,256.0,0.0001,1,0.9306225518195889,0.019943019943019943,0.9396984924623115,0.011681809753384016,0.0681081081081081
k100_L5_emb32x128_lr0.0001,100.0,5.0,32.0,128.0,0.0001,1,0.9304990826290852,0.014574243173946292,0.914572864321608,0.007441945931047155,0.35027027027027025
k50_L2_emb32x256_lr0.0001,50.0,2.0,32.0,256.0,0.0001,1,0.9304482212393042,0.020898176967541128,0.9346733668341709,0.011646636104571924,0.10162162162162162
k100_L3_emb32x256_lr0.0001,100.0,3.0,32.0,256.0,0.0001,1,0.9302483445399804,0.014513564006361264,0.9045226130653267,0.007361924751730835,0.5081081081081081
k20_L5_emb128x128_lr0.0001,20.0,5.0,128.0,128.0,0.0001,1,0.9299721706188802,0.014368188427705554,0.8844221105527639,0.007281057577260922,0.5394594594594595
k100_L2_emb32x256_lr0.0001,100.0,2.0,32.0,256.0,0.0001,1,0.9299536893654485,0.014825085324232082,0.9246231155778895,0.007536462380943775,0.4508108108108108
k20_L3_emb32x128_lr0.0001,20.0,3.0,32.0,128.0,0.0001,1,0.9297075084097971,0.017332095326524296,0.9296482412060302,0.009100265424408211,0.18162162162162163
k50_L2_emb64x256_lr0.0001,50.0,2.0,64.0,256.0,0.0001,2,0.9295414994685066,0.04721030042918455,0.9849246231155779,0.06976744186046512,0.03567567567567568
k20_L3_emb128x256_lr0.0001,20.0,3.0,128.0,256.0,0.0001,1,0.9294398081021653,0.014032879729410839,0.8994974874371859,0.007120051085568327,0.4821621621621622
k100_L3_emb128x256_lr0.0001,100.0,3.0,128.0,256.0,0.0001,3,0.929411778515593,0.037906880922950144,0.9949748743718593,0.03062583222370173,0.04972972972972973
k20_L2_emb64x64_lr0.0001,20.0,2.0,64.0,64.0,0.0001,5,0.9293680206223536,0.03307223672758921,0.9949748743718593,0.027676620538965767,0.04108108108108108
k100_L2_emb64x256_lr0.0001,100.0,2.0,64.0,256.0,0.0001,1,0.929304236578044,0.013443660449301283,0.9195979899497487,0.0068462985947071306,0.36972972972972973
k50_L5_emb64x128_lr0.0001,50.0,5.0,64.0,128.0,0.0001,1,0.9286500216427225,0.01666258270031855,0.9296482412060302,0.00883174232092993,0.14702702702702702
k50_L5_emb64x64_lr0.0001,50.0,5.0,64.0,64.0,0.0001,1,0.9284354232549143,0.015468657039320677,0.914572864321608,0.008141653381917559,0.1545945945945946
k100_L3_emb32x128_lr0.0001,100.0,3.0,32.0,128.0,0.0001,1,0.9283752996745964,0.01912811387900356,0.9396984924623115,0.012041444973396808,0.046486486486486484
k20_L2_emb32x128_lr0.0001,20.0,2.0,32.0,128.0,0.0001,1,0.9282254494890826,0.019692307692307693,0.9547738693467337,0.022857142857142857,0.017297297297297298
k100_L5_emb64x128_lr0.0001,100.0,5.0,64.0,128.0,0.0001,1,0.9281682314058683,0.013113174726362833,0.8894472361809045,0.006638756791177228,0.5297297297297298
k100_L5_emb32x64_lr0.0001,100.0,5.0,32.0,64.0,0.0001,1,0.9281158530119823,0.014239954330658717,0.8994974874371859,0.007225968424610135,0.4854054054054054
k100_L2_emb64x128_lr0.0001,100.0,2.0,64.0,128.0,0.0001,1,0.9280553414338745,0.018893387314439947,0.949748743718593,0.012589928057553957,0.03783783783783784
k20_L5_emb64x64_lr0.0001,20.0,5.0,64.0,64.0,0.0001,1,0.927830102951426,0.013353053031903655,0.8894472361809045,0.00676466390752105,0.5124324324324324
k100_L5_emb64x64_lr0.0001,100.0,5.0,64.0,64.0,0.0001,2,0.927572116775744,0.06696035242290749,0.9748743718592965,0.18095238095238095,0.04108108108108108
k50_L5_emb32x64_lr0.0001,50.0,5.0,32.0,64.0,0.0001,2,0.9275172452840633,0.029829028737722807,0.964824120603015,0.022478070175438597,0.04432432432432432
k100_L2_emb32x128_lr0.0001,100.0,2.0,32.0,128.0,0.0001,1,0.927379357458134,0.01296453632902231,0.9045226130653267,0.006578002011719062,0.4454054054054054
k50_L3_emb128x256_lr0.0001,50.0,3.0,128.0,256.0,0.0001,1,0.9273462526411826,0.013067278827476603,0.949748743718593,0.007809202195018995,0.04
k50_L3_emb32x128_lr0.0001,50.0,3.0,32.0,128.0,0.0001,1,0.9273164354284891,0.015620118712902219,0.9246231155778895,0.008069143594893129,0.24324324324324326
k20_L2_emb32x256_lr0.0001,20.0,2.0,32.0,256.0,0.0001,1,0.9272742031782892,0.014436797045492698,0.8994974874371859,0.0073217547444351565,0.5113513513513513
k20_L5_emb128x64_lr0.0001,20.0,5.0,128.0,64.0,0.0001,1,0.9270649462310656,0.013623601969899203,0.8793969849246231,0.006909860557768924,0.48
k50_L3_emb32x64_lr0.0001,50.0,3.0,32.0,64.0,0.0001,1,0.9268527618537482,0.016545900610486677,0.9095477386934674,0.0084971724926016,0.31351351351351353
k50_L3_emb64x256_lr0.0001,50.0,3.0,64.0,256.0,0.0001,1,0.9265162708879416,0.02558922558922559,0.9396984924623115,0.018581907090464547,0.04108108108108108
k20_L3_emb128x128_lr0.0001,20.0,3.0,128.0,128.0,0.0001,1,0.9264817047427948,0.013393949540870864,0.8894472361809045,0.006777716952112823,0.5621621621621622
k50_L2_emb32x128_lr0.0001,50.0,2.0,32.0,128.0,0.0001,1,0.9256280343437574,0.01451378809869376,0.964824120603015,0.02207505518763797,0.010810810810810811
k100_L5_emb128x64_lr0.0001,100.0,5.0,128.0,64.0,0.0001,1,0.925466980262292,0.012051228217509972,0.8793969849246231,0.00608469815020936,0.6205405405405405
k100_L3_emb64x256_lr0.0001,100.0,3.0,64.0,256.0,0.0001,1,0.9253966265195593,0.015330565314595975,0.949748743718593,0.008993816750983699,0.05189189189189189
k100_L3_emb32x64_lr0.0001,100.0,3.0,32.0,64.0,0.0001,1,0.9253266516821964,0.012768845125818827,0.8994974874371859,0.006467270839763194,0.4983783783783784
k20_L2_emb128x128_lr0.0001,20.0,2.0,128.0,128.0,0.0001,1,0.9249302128881742,0.014466546112115732,0.9597989949748744,0.04419889502762431,0.008648648648648649
k20_L3_emb128x64_lr0.0001,20.0,3.0,128.0,64.0,0.0001,1,0.924743087031934,0.012748822119695464,0.8944723618090452,0.006472009799053199,0.4227027027027027
k50_L2_emb128x256_lr0.0001,50.0,2.0,128.0,256.0,0.0001,1,0.9245410909881219,0.012761565168433893,0.9346733668341709,0.006987258528565557,0.07351351351351351
k50_L3_emb128x128_lr0.0001,50.0,3.0,128.0,128.0,0.0001,2,0.924510311703052,0.05970149253731343,0.9849246231155779,0.1588785046728972,0.036756756756756756
k50_L2_emb32x64_lr0.0001,50.0,2.0,32.0,64.0,0.0001,1,0.9244857958489839,0.012924566907652434,0.8994974874371859,0.006565840306290387,0.4097297297297297
k100_L3_emb64x128_lr0.0001,100.0,3.0,64.0,128.0,0.0001,1,0.924430167828321,0.012159600536316982,0.8894472361809045,0.0061455059527286745,0.5686486486486486
k20_L3_emb32x64_lr0.0001,20.0,3.0,32.0,64.0,0.0001,1,0.9242120455295275,0.015340364333652923,0.9346733668341709,0.009324009324009324,0.043243243243243246
k20_L3_emb64x64_lr0.0001,20.0,3.0,64.0,64.0,0.0001,1,0.9236998841417329,0.02053196453569762,0.964824120603015,0.0180623973727422,0.023783783783783784
k100_L2_emb32x64_lr0.0001,100.0,2.0,32.0,64.0,0.0001,1,0.9236686195983254,0.01203973771354635,0.8894472361809045,0.006081552623708086,0.5935135135135136
k20_L2_emb128x256_lr0.0001,20.0,2.0,128.0,256.0,0.0001,1,0.9236279064389858,0.012917526561186271,0.8944723618090452,0.0065357792015263046,0.5481081081081081
k20_L3_emb64x128_lr0.0001,20.0,3.0,64.0,128.0,0.0001,1,0.9236070987059196,0.013014781072789812,0.8894472361809045,0.006578097285360209,0.6054054054054054
k50_L2_emb64x128_lr0.0001,50.0,2.0,64.0,128.0,0.0001,2,0.9230266800872443,0.04667124227865477,0.9899497487437187,0.06390977443609022,0.036756756756756756
k50_L3_emb64x128_lr0.0001,50.0,3.0,64.0,128.0,0.0001,1,0.9224142677013065,0.015721504772599662,0.9396984924623115,0.016355140186915886,0.015135135135135135
k100_L2_emb128x256_lr0.0001,100.0,2.0,128.0,256.0,0.0001,1,0.9217041581485387,0.011289973006521781,0.8944723618090452,0.00569690100516002,0.6194594594594595
k20_L2_emb128x64_lr0.0001,20.0,2.0,128.0,64.0,0.0001,1,0.9206332638707136,0.012334741720049067,0.9045226130653267,0.006266119679423933,0.39135135135135135
k50_L2_emb128x128_lr0.0001,50.0,2.0,128.0,128.0,0.0001,2,0.920195824500421,0.04803843074459568,0.9899497487437187,0.09259259259259259,0.032432432432432434
k50_L2_emb64x64_lr0.0001,50.0,2.0,64.0,64.0,0.0001,5,0.9200667599326112,0.03225806451612903,0.9949748743718593,0.02702702702702703,0.04
k100_L2_emb128x128_lr0.0001,100.0,2.0,128.0,128.0,0.0001,3,0.9185289213878585,0.04685059864653826,0.9949748743718593,0.045180722891566265,0.04864864864864865
k100_L3_emb128x128_lr0.0001,100.0,3.0,128.0,128.0,0.0001,1,0.9184929960807318,0.010320627494151644,0.8944723618090452,0.005215637640677337,0.4864864864864865
k100_L3_emb64x64_lr0.0001,100.0,3.0,64.0,64.0,0.0001,1,0.9179394415079387,0.016845329249617153,0.9547738693467337,0.013040901007705987,0.023783783783783784
k100_L3_emb128x64_lr0.0001,100.0,3.0,128.0,64.0,0.0001,1,0.9178435014965495,0.010600602374062481,0.9045226130653267,0.00537368838594758,0.3881081081081081
k100_L2_emb64x64_lr0.0001,100.0,2.0,64.0,64.0,0.0001,1,0.9175955848852617,0.010730175346767862,0.949748743718593,0.00610391543843978,0.04432432432432432
k50_L3_emb128x64_lr0.0001,50.0,3.0,128.0,64.0,0.0001,1,0.9171585651325246,0.009989240613851294,0.8844221105527639,0.005047499141581779,0.47675675675675677
k50_L5_emb128x64_lr0.0001,50.0,5.0,128.0,64.0,0.0001,1,0.9160638150458629,0.009873248832555036,0.8894472361809045,0.004992639842983317,0.44
k50_L3_emb64x64_lr0.0001,50.0,3.0,64.0,64.0,0.0001,1,0.9159344606454491,0.009818051777760921,0.8894472361809045,0.004958731965759573,0.4897297297297297
k100_L2_emb128x64_lr0.0001,100.0,2.0,128.0,64.0,0.0001,1,0.9158332331219777,0.009881899252832008,0.9447236180904522,0.0055608300556083,0.04432432432432432
k50_L2_emb128x64_lr0.0001,50.0,2.0,128.0,64.0,0.0001,1,0.9151407267169746,0.010423283478662585,0.8994974874371859,0.0052821795941062,0.3902702702702703
