experiment,k,layers,acc_emb,trn_emb,lr,epoch,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k100_L5_emb64x256_lr0.0001,100,5,64,256,0.0001,2,0.05431502715751358,0.95995995995996,0.06147540983606557,0.04864864864864865
k20_L3_emb64x128_lr0.0001,20,3,64,128,0.0001,2,0.053929121725731895,0.9829829829829829,0.0938337801608579,0.03783783783783784
k50_L2_emb128x256_lr0.0001,50,2,128,256,0.0001,2,0.05386250885896527,0.9829829829829829,0.07818930041152264,0.04108108108108108
k20_L3_emb64x64_lr0.0001,20,3,64,64,0.0001,2,0.05277777777777778,0.984984984984985,0.07378640776699029,0.04108108108108108
k100_L2_emb64x256_lr0.0001,100,2,64,256,0.0001,2,0.05178979436405179,0.978978978978979,0.08762886597938144,0.036756756756756756
k100_L2_emb128x256_lr0.0001,100,2,128,256,0.0001,3,0.051696284329563816,0.996996996996997,0.10223642172523961,0.034594594594594595
k100_L5_emb128x64_lr0.0001,100,5,128,64,0.0001,3,0.05143721633888049,0.996996996996997,0.08564231738035265,0.036756756756756756
k50_L2_emb64x256_lr0.0001,50,2,64,256,0.0001,2,0.05140562248995984,0.986986986986987,0.1,0.034594594594594595
k20_L3_emb128x256_lr0.0001,20,3,128,256,0.0001,3,0.051364365971107544,0.996996996996997,0.09968847352024922,0.034594594594594595
k20_L5_emb64x64_lr0.0001,20,5,64,64,0.0001,2,0.05128205128205128,0.9879879879879879,0.08478802992518704,0.036756756756756756
k50_L2_emb64x128_lr0.0001,50,2,64,128,0.0001,2,0.05128205128205128,0.991991991991992,0.09907120743034056,0.034594594594594595
k50_L2_emb128x128_lr0.0001,50,2,128,128,0.0001,2,0.0507185122569738,0.990990990990991,0.11627906976744186,0.032432432432432434
k100_L2_emb128x64_lr0.0001,100,2,128,64,0.0001,2,0.05061224489795919,0.9829829829829829,0.10333333333333333,0.03351351351351351
k50_L5_emb128x128_lr0.0001,50,5,128,128,0.0001,2,0.05057096247960848,0.974974974974975,0.10299003322259136,0.03351351351351351
